State,StateEmergency,FirstSchoolClosure
Alabama,2020-03-13,2020-03-13
Alaska,2020-03-11,2020-03-13
Arizona,2020-03-11,2020-03-15
Arkansas,2020-03-11,2020-03-15
California,2020-03-04,2020-03-19
Colorado,2020-03-10,2020-03-18
Connecticut,2020-03-10,2020-03-15
Delaware,2020-03-13,2020-03-13
Florida,2020-03-09,2020-03-13
Georgia,2020-03-14,2020-03-16
Hawaii,2020-03-04,2020-03-16
Idaho,2020-03-13,2020-03-23
Illinois,2020-03-06,2020-03-13
Indiana,2020-03-06,2020-03-12
Iowa,2020-03-09,2020-03-15
Kansas,2020-03-12,2020-03-17
Kentucky,2020-03-06,2020-03-13
Louisiana,2020-03-11,2020-03-13
Maine,2020-03-15,2020-03-18
Maryland,2020-03-05,2020-03-12
Massachusetts,2020-03-10,2020-03-15
Michigan,2020-03-10,2020-03-12
Minnesota,2020-03-13,2020-03-15
Mississippi,2020-03-14,2020-03-14
Missouri,2020-03-13,2020-03-19
Montana,2020-03-12,2020-03-15
Nebraska,2020-03-13,2020-04-01
Nevada,2020-03-12,2020-03-15
New Hampshire,2020-03-13,2020-03-15
New Jersey,2020-03-09,2020-03-16
New Mexico,2020-03-11,2020-03-12
New York,2020-03-07,2020-03-16
North Carolina,2020-03-10,2020-03-14
North Dakota,2020-03-13,2020-03-15
Ohio,2020-03-09,2020-03-12
Oklahoma,2020-03-15,2020-03-16
Oregon,2020-03-08,2020-03-12
Pennsylvania,2020-03-06,2020-03-13
Rhode Island,2020-03-09,2020-03-13
South Carolina,2020-03-13,2020-03-15
South Dakota,2020-03-13,2020-03-17
Tennessee,2020-03-12,2020-03-16
Texas,2020-03-13,2020-03-19
Utah,2020-03-06,2020-03-13
Vermont,2020-03-13,2020-03-15
Virginia,2020-03-09,2020-03-13
Washington,2020-02-29,2020-03-13
West Virginia,2020-03-16,2020-03-13
Wisconsin,2020-03-12,2020-03-13
Wyoming,2020-03-13,2020-03-15
