date_clean,state,positive,negative,death,recovered,positiveIncrease,negativeIncrease,deathIncrease,totalTestResults,totalTestResultsIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative
2020-11-15,AK,23814.0,843568.0,98.0,7164.0,1409,3709,0,867382.0,5118,141.0,,0,,,7.0,
2020-11-15,AL,217822.0,1275915.0,3248.0,88038.0,1979,4655,2,1459406.0,6251,1195.0,22275.0,0,,2151.0,,1244.0
2020-11-15,AR,133040.0,1386711.0,2183.0,114312.0,2722,19634,35,1505554.0,21690,830.0,7847.0,0,317.0,,116.0,894.0
2020-11-15,AS,0.0,1768.0,0.0,,0,0,0,1768.0,0,,,0,,,,
2020-11-15,AZ,275436.0,1706395.0,6302.0,45400.0,2383,10789,2,1974498.0,13084,1506.0,23049.0,112,368.0,,183.0,
2020-11-15,CA,1019345.0,19847440.0,18253.0,,10968,184221,35,20866785.0,195189,4454.0,,0,1094.0,,,
2020-11-15,CO,159234.0,1285090.0,2234.0,9528.0,5196,15227,0,2485451.0,41852,1325.0,11056.0,195,,,,
2020-11-15,CT,88645.0,2618022.0,4737.0,9800.0,0,0,0,2706667.0,0,659.0,12257.0,0,,,,
2020-11-15,DC,18977.0,569643.0,660.0,14182.0,163,5138,2,588620.0,5301,104.0,,0,33.0,,21.0,
2020-11-15,DE,28803.0,351012.0,736.0,14867.0,408,2043,0,622341.0,5894,81.0,,0,16.0,,,
2020-11-15,FL,872810.0,5726495.0,17734.0,,9820,34533,30,11022168.0,122779,3118.0,52529.0,88,,,,
2020-11-15,GA,386949.0,3500337.0,8957.0,,1952,19395,1,3887286.0,21347,1978.0,33241.0,25,,6225.0,,
2020-11-15,GU,6121.0,71255.0,94.0,3942.0,156,463,1,77376.0,619,75.0,,0,21.0,,12.0,
2020-11-15,HI,16759.0,295153.0,222.0,11958.0,107,0,0,595115.0,5318,63.0,1194.0,0,14.0,,1.0,
