State,pop2019est,LandSqMi,LandSqKM,PopPerSqMi,PopPerSqKM
Alabama,4903185,50645.33,131171.0,96.8141583834087,37.38009925974492
Alaska,731545,570640.95,1477953.0,1.2819707383425603,0.49497176161894185
Arizona,7278717,113594.08,294207.0,64.07655222877811,24.740121751012044
Arkansas,3017804,52035.48,134771.0,57.99512178997868,22.3920873184884
California,39512223,155779.22,403466.0,253.64244987232573,97.9319769199883
Colorado,5758736,103641.89,268431.0,55.56378796256996,21.453319475023378
Connecticut,3565287,4842.36,12542.0,736.2705375065051,284.26782012438207
Delaware,973764,1948.54,5047.0,499.74031839223215,192.93917178521895
District of Columbia,705749,61.05,158.0,11560.180180180181,4466.765822784811
Florida,21477737,53624.76,138887.0,400.5190326259735,154.6418095286096
Georgia,10617423,57513.49,148959.0,184.60752425213633,71.27748575111272
Hawaii,1415872,6422.63,16635.0,220.45050080730167,85.11403666967237
Idaho,1787065,82643.12,214045.0,21.623881092582177,8.349015393959213
Illinois,12671821,55518.93,143793.0,228.2432496447608,88.12543726050642
Indiana,6732219,35826.11,92789.0,187.9137589875094,72.5540635204604
Iowa,3155070,55857.13,144669.0,56.48464215759027,21.808887875080355
Kansas,2913314,81758.72,211754.0,35.63306764098068,13.758011655033672
Kentucky,4467673,39486.34,102269.0,113.14477361031689,43.68550587176955
Louisiana,4648794,43203.9,111898.0,107.60125821974405,41.544924842267065
Maine,1344212,30842.92,79883.0,43.58251423665464,16.8272598675563
Maryland,6045680,9707.24,25142.0,622.8011257576819,240.46137936520563
Massachusetts,6892503,7800.06,20202.0,883.6474334812808,341.1792396792397
Michigan,9986857,56538.9,146435.0,176.63691723751256,68.19993171031516
Minnesota,5639632,79626.74,206232.0,70.82585573640212,27.34605686799333
Mississippi,2976149,46923.27,121531.0,63.42586524766923,24.48880532539023
Missouri,6137428,68741.52,178040.0,89.28269261430354,34.472186025612224
Montana,1068778,145545.8,376962.0,7.3432417836859605,2.835240687390241
Nebraska,1934408,76824.17,198974.0,25.179679780464923,9.721913415823172
Nevada,3080156,109781.18,284332.0,28.057231667577266,10.832955840355641
New Hampshire,1359711,8952.65,23187.0,151.87804728208965,58.64109199120197
New Jersey,8882190,7354.22,19047.0,1207.767785026828,466.3301307292487
New Mexico,2096829,121298.15,314161.0,17.286570322795527,6.674377150569294
New York,19453561,47126.4,122057.0,412.7953970598221,159.38095316122795
North Carolina,10488084,48617.91,125920.0,215.7246989843866,83.2916454891995
North Dakota,762062,69000.8,178711.0,11.04424876233319,4.264214290110849
Ohio,11689100,40860.69,105829.0,286.0720168944773,110.45271144960266
Oklahoma,3956971,68594.92,177660.0,57.68606479896762,22.272717550377124
Oregon,4217737,95988.01,248608.0,43.94024837060379,16.965411410734973
Pennsylvania,12801989,44742.7,115883.0,286.12464156164026,110.4733998947214
Rhode Island,1059361,1033.81,2678.0,1024.715373231058,395.5791635548917
South Carolina,5148714,30060.7,77857.0,171.2772490327903,66.13039289980348
South Dakota,884659,75811.0,196350.0,11.66926963105618,4.5055207537560475
Tennessee,6829174,41234.9,106798.0,165.61635895806708,63.94477424670874
Texas,28995881,261231.71,676587.0,110.99678901921976,42.85610128483107
Utah,3205958,82169.62,212818.0,39.016342049531204,15.064317867849525
Vermont,623989,9216.66,23871.0,67.70229128556332,26.1400444053454
Virginia,8535519,39490.09,102279.0,216.14331595597784,83.4532895315754
Washington,7614893,66455.52,172119.0,114.58631276980452,44.24202441334193
West Virginia,1792147,24038.21,62259.0,74.55409533405359,28.785348303056587
Wisconsin,5822434,54157.8,140268.0,107.5086875759355,41.509353523255484
Wyoming,578759,97093.14,251470.0,5.960863970410268,2.301503161410904
